Zip Code,City,State,Household Income,White Population,Black Population,Hispanic Population,Size,Overall Crime,Violent Crime,Rent Amount,Average House Price,Price/Rent,Projected Growth (1yr)
02148,Malden,MA,25809,68.30966063103112%,18.83551989591239%,12.854819473056489%,314,D,D,2349.0922381711857,642181.4421080657,22.781191519893113,1.7%
33018,Hialeah,FL,16961,33.858776161355266%,0.511515427761107%,65.62970841088362%,820,D+,C+,3145.4166666666665,537372.3750793625,14.236915487597365,2.7%
83686,Nampa,ID,18998,78.98943516088937%,0.7112277309763845%,20.299337108134235%,817,D-,B,1403.7738095238094,420739.6423525436,24.976699682554724,3.1%
17103,Harrisburg,PA,4885,22.571209694268404%,50.07312486941987%,27.35566543631172%,8965,D-,F,1112.5,108040.15705528804,8.092895659572138,1.3%
30038,Lithonia,GA,14208,3.8296685180958177%,93.69499606888331%,2.475335413020873%,1777,F,D+,1789.0436809567243,274095.85675521515,12.767335777991239,2.2%
02145,Somerville,MA,11608,74.36526777451414%,5.6492173983020155%,19.98551482718384%,4095,F,F,3162.77327395747,814027.9885428497,21.448159522046197,1.4%
57719,Box Elder,SD,4129,93.9421429291402%,1.70345731277089%,4.354399758088903%,11976,F,C+,1517.5,337353.6453420093,18.525735603624895,1.9%
21045,Columbia,MD,15364,52.762468810836005%,35.03605604452853%,12.201475144635463%,1829,C-,D,2013.297619047619,466857.5934765072,19.323918673672964,0.1%
94550,Livermore,CA,17260,78.98643521153481%,1.9825460064503888%,19.031018782014797%,858,A,B-,2868.885714285714,1279757.0093427384,37.173463172192164,-0.6%
70802,Baton Rouge,LA,9812,19.14208648742713%,78.00400243626555%,2.8539110763073174%,4597,D-,F,1050.5555555555554,58851.349306130774,4.6682720232256045,-2.0%
62206,Cahokia,IL,4660,28.466519267214153%,70.02526847757422%,1.5082122552116235%,8799,F,F,1150.0,44436.081495487546,3.2200059054701122,0.6%
61265,Moline,IL,18984,73.78565921356977%,9.091115243321694%,17.123225543108532%,1410,C+,C+,1136.111111111111,139078.84588765504,10.201382338947804,-0.7%
07628,Dumont,NJ,6593,70.05995744955193%,4.345303333118432%,25.594739217329636%,6737,C,C,1825.0,568252.3466992383,25.947595739691245,0.4%
68504,Lincoln,NE,7932,83.24633670838311%,6.779447833469593%,9.974215458147286%,7536,D+,C-,1156.3209541062804,205279.8920638097,14.794039328990511,1.1%
65584,Saint Robert,MO,3948,75.27671232876713%,9.556164383561644%,15.167123287671233%,9702,D+,B-,938.1349206349206,209592.4579795137,18.61783180732536,1.7%
39202,Jackson,MS,3452,43.90917459343357%,54.863455047560606%,1.22737035900583%,11392,D,D-,998.0,148662.8437400251,12.41339710588052,-1.8%
37914,Knoxville,TN,8866,58.42063254514617%,37.23436096976953%,4.345006485084306%,6037,D,D+,1600.0,243260.34642549916,12.669809709661415,6.4%
94571,Rio Vista,CA,5342,68.51009641622703%,10.478442786974714%,21.011460796798254%,9600,C+,C+,2600.0,479003.9256871391,15.352689925869843,-0.7%
43221,Upper Arlington,OH,14785,94.30375709638324%,2.529182879377432%,3.167060024239331%,2875,C+,C,2011.0,444816.9090541143,18.43265825684213,3.1%
06897,Wilton,CT,6210,91.0135841170324%,2.0775708402483253%,6.908845042719282%,6608,A+,C-,3750.0,1078868.1965383089,23.97484881196242,3.4%
37408,Chattanooga,TN,1325,61.73163418290854%,32.87106446776612%,5.397301349325337%,16300,F,F,2248.5,420338.1849397205,15.578466568072066,2.2%
27511,Cary,NC,13297,76.65889816792905%,10.37741956366932%,12.96368226840163%,3016,B+,A-,1727.6666666666667,498622.700110445,24.050873051825437,3.7%
34232,Sarasota,FL,14870,82.62078356832818%,3.937700360293909%,13.441516071377912%,2888,B+,A+,2635.4285714285716,396914.3640107896,12.550595132604832,2.6%
78644,Lockhart,TX,6565,54.954185432520575%,3.3196148470259352%,41.72619972045349%,5339,B-,C+,1900.0,303651.3354936585,13.318041030423618,0.0%
84084,West Jordan,UT,10344,75.01032237573448%,1.6229950770208037%,23.366682547244718%,3373,A,A,2079.1666666666665,489157.82918212726,19.605524215716525,2.0%
89052,Henderson,NV,23914,77.01506030284975%,5.888516775903516%,17.096422921246738%,609,B-,A-,1953.0646395552224,583850.1926820558,24.911711439609505,1.6%
32246,Jacksonville,FL,23275,64.84398107068915%,15.07690032534753%,20.079118603963327%,597,C-,B+,1723.0652173913043,332054.4296333695,16.05928910302145,2.2%
21401,Annapolis,MD,17881,74.1970236007416%,15.227739640226487%,10.575236759031919%,1947,D-,C-,2313.1569264069262,594243.1000496178,21.40808423853412,0.0%
91786,Upland,CA,19495,42.66263505030679%,7.930613760543208%,49.40675118915%,653,C-,C-,2254.897243107769,714028.9223577619,26.38808060028141,2.5%
98404,Tacoma,WA,12538,56.70550365627515%,17.879010531471955%,25.415485812252896%,2556,D,D-,1992.8333333333333,428812.20974819013,17.931429695918297,1.3%
84104,Salt Lake City,UT,7832,48.86301998581383%,6.23774356406726%,44.89923645011891%,4143,D,D-,1518.125,398047.8986008442,21.849754280271398,2.0%
32792,Winter Park,FL,21924,62.833872545331424%,11.818147618689338%,25.347979835979235%,881,C+,A-,1866.4640522875816,404337.6467924891,18.052747310122026,2.2%
93108,Montecito,CA,4581,89.33862690035829%,0.474484361382783%,10.186888738258933%,10138,B,B,9866.666666666666,4700895.220692787,39.70350693152692,3.7%
60155,Broadview,IL,2995,14.642582628747117%,69.9590058929029%,15.398411478349988%,10802,D+,D+,1862.5,236860.630749414,10.597791084984967,0.5%
